"season","treatment","insecticide_name","UA","UD","FA","FD","total","wash_status"
"SRS",0,"UTN",0,1,0,0,1,"Control"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",1,"IG2",0,0,0,1,1,"Unwashed"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",1,"IG2",1,0,0,0,1,"Unwashed"
"SRS",1,"IG2",0,0,0,1,1,"Unwashed"
"SRS",0,"UTN",0,0,0,0,0,"Control"
"SRS",0,"UTN",0,1,0,0,1,"Control"
"SRS",1,"IG2.Aged",1,0,0,0,1,"Aged"
"SRS",1,"IG2.Aged",2,0,0,1,3,"Aged"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",1,"IG2",1,0,0,0,1,"Unwashed"
"SRS",1,"IG2",0,2,0,0,2,"Unwashed"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",1,"IG2.Aged",1,0,0,0,1,"Aged"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2",1,0,0,1,2,"Unwashed"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",1,"IG2",0,1,0,1,2,"Unwashed"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2",1,0,0,0,1,"Unwashed"
"SRS",0,"UTN",0,0,0,0,0,"Control"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",0,"UTN",1,0,1,0,2,"Control"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",1,"IG2",0,3,0,0,3,"Unwashed"
"SRS",0,"UTN",0,0,2,0,2,"Control"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",0,"UTN",0,1,0,0,1,"Control"
"SRS",1,"IG2",0,0,0,3,3,"Unwashed"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",0,0,0,1,1,"Aged"
"SRS",1,"IG2.Aged",0,2,0,0,2,"Aged"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",0,0,1,0,1,"Aged"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",1,"IG2",0,0,0,1,1,"Unwashed"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",1,0,0,0,1,"Aged"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",0,"UTN",0,1,0,0,1,"Control"
"SRS",0,"UTN",1,0,0,0,1,"Control"
"SRS",1,"IG2.Aged",0,0,0,1,1,"Aged"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2",0,0,0,1,1,"Unwashed"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",0,"UTN",0,0,0,0,0,"Control"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",0,"UTN",0,1,0,0,1,"Control"
"SRS",1,"IG2",0,0,1,0,1,"Unwashed"
"SRS",0,"UTN",0,0,0,0,0,"Control"
"SRS",0,"UTN",1,0,0,0,1,"Control"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",0,"UTN",0,0,1,0,1,"Control"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",0,0,0,1,1,"Aged"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",1,"IG2",0,3,0,0,3,"Unwashed"
"SRS",0,"UTN",1,0,0,0,1,"Control"
"SRS",1,"IG2.Aged",1,0,0,0,1,"Aged"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",0,"UTN",0,0,0,0,0,"Control"
"SRS",0,"UTN",0,0,2,0,2,"Control"
"SRS",1,"IG2",1,0,0,0,1,"Unwashed"
"SRS",1,"IG2",0,0,0,1,1,"Unwashed"
"SRS",1,"IG2",0,3,0,0,3,"Unwashed"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",1,"IG2.Aged",0,0,0,3,3,"Aged"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",0,"UTN",0,0,2,0,2,"Control"
"SRS",0,"UTN",0,1,0,0,1,"Control"
"SRS",0,"UTN",1,0,0,0,1,"Control"
"SRS",0,"UTN",1,0,0,0,1,"Control"
"SRS",0,"UTN",1,0,0,0,1,"Control"
"SRS",0,"UTN",1,0,0,0,1,"Control"
"SRS",0,"UTN",1,0,0,0,1,"Control"
"SRS",1,"IG2",0,2,0,0,2,"Unwashed"
"SRS",0,"UTN",0,0,0,0,0,"Control"
"SRS",0,"UTN",0,1,0,0,1,"Control"
"SRS",1,"IG2.Aged",0,0,0,0,0,"Aged"
"SRS",1,"IG2",0,0,0,0,0,"Unwashed"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",0,2,0,0,2,"Aged"
"SRS",0,"UTN",0,0,0,0,0,"Control"
"SRS",0,"UTN",0,0,0,0,0,"Control"
"SRS",0,"UTN",0,1,0,0,1,"Control"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2",0,1,0,0,1,"Unwashed"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
"SRS",1,"IG2.Aged",0,1,0,0,1,"Aged"
