"day","month","year","trialday","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
"05","Aug","2020",21,"Control","untreated",0,0,0,0,0,0,0,0
"10","Nov","2021",3,"0","interceptorG2",3,0,0,0,0,0,0,0
"13","Aug","2020",28,"Control","untreated",0,0,0,0,0,0,0,0
"05","Feb","2021",29,"0","olysetplus",2,0,0,0,0,0,0,0
"13","Feb","2021",36,"0","interceptorG2",3,0,0,0,0,0,0,0
"23","May","2020",6,"0","olysetplus",2,0,0,0,0,0,0,0
"15","Nov","2021",7,"0","olysetplus",2,0,0,0,0,0,0,0
"04","Mar","2021",4,"0","interceptorG2",3,0,0,0,0,0,0,0
"18","Dec","2021",36,"Control","untreated",0,0,0,0,0,0,0,0
"15","Aug","2020",30,"0","interceptor",1,0,0,0,0,0,0,0
"06","Mar","2021",6,"Control","untreated",0,0,0,0,0,0,0,0
"24","Nov","2021",15,"Control","untreated",0,0,0,0,0,0,0,0
"13","Jul","2020",1,"0","olysetplus",2,0,0,0,0,0,0,0
"22","Apr","2021",4,"0","interceptor",1,0,0,0,0,0,0,0
"11","Nov","2021",4,"Control","untreated",0,0,0,0,0,0,0,0
"22","Jul","2021",34,"Control","untreated",0,0,0,0,0,0,0,0
"19","May","2020",2,"0","interceptorG2",3,0,0,0,0,0,0,0
"24","Jul","2021",36,"0","interceptor",1,0,0,0,0,0,0,0
"16","Nov","2020",13,"Control","untreated",0,0,0,0,0,0,0,0
"20","Jul","2021",32,"Control","untreated",0,0,0,0,0,0,0,0
"30","Nov","2021",20,"Control","untreated",0,0,0,0,0,0,0,0
"16","Jul","2020",4,"0","interceptorG2",3,0,1,0,0,1,0,1
"10","Nov","2021",3,"Control","untreated",0,0,0,0,0,0,0,0
"03","Dec","2021",23,"0","interceptorG2",3,0,1,0,0,1,0,1
"21","May","2020",4,"Control","untreated",0,0,0,0,0,0,0,0
"03","Apr","2021",30,"Control","untreated",0,0,0,0,0,0,0,0
"09","Mar","2021",8,"Control","untreated",0,0,0,0,0,0,0,0
"18","Jan","2021",13,"0","interceptor",1,0,0,0,0,0,0,0
"15","Jul","2021",28,"Control","untreated",0,0,0,0,0,0,0,0
"25","Jul","2020",12,"0","olysetplus",2,0,0,0,0,0,0,0
"29","Jun","2021",14,"0","interceptorG2",3,0,0,0,0,0,0,0
"29","May","2020",11,"0","olysetplus",2,0,0,0,0,0,0,0
"30","Apr","2021",11,"Control","untreated",0,0,0,0,0,0,0,0
"26","Jun","2020",35,"Control","untreated",0,0,0,0,0,0,0,0
"10","Aug","2020",25,"Control","untreated",0,0,0,0,0,0,0,0
"23","Nov","2021",14,"Control","untreated",0,0,0,0,0,0,0,0
"03","Dec","2020",28,"Control","untreated",0,0,0,0,0,0,0,0
"19","Apr","2021",1,"Control","untreated",0,0,0,0,0,0,0,0
"13","Jul","2020",1,"Control","untreated",0,0,0,0,0,0,0,0
"24","Jul","2021",36,"Control","untreated",0,0,0,0,0,0,0,0
"21","Jul","2020",8,"Control","untreated",0,0,0,0,0,0,0,0
"22","Nov","2021",13,"Control","untreated",0,0,0,0,0,0,0,0
"02","Dec","2021",22,"Control","untreated",0,0,0,0,0,0,0,0
"31","Jul","2020",17,"0","interceptor",1,0,0,0,0,0,0,0
"06","Mar","2021",6,"0","olysetplus",2,0,0,0,0,0,0,0
"05","Nov","2020",4,"Control","untreated",0,0,0,0,0,0,0,0
"20","Jun","2020",30,"0","interceptor",1,0,0,0,0,0,0,0
"01","Jul","2021",16,"0","olysetplus",2,0,2,0,0,2,0,2
"04","Jan","2021",1,"0","olysetplus",2,0,0,0,0,0,0,0
"19","May","2020",2,"Control","untreated",0,0,0,0,0,0,0,0
"29","Nov","2021",19,"0","interceptorG2",3,0,0,0,0,0,0,0
"06","Apr","2021",32,"Control","untreated",0,0,0,0,0,0,0,0
